Cluster,region,technology,Resource,Zone,EndCap,EndEnergyCap,EndChargeCap,NewCap,RetCap,NewEnergyCap,RetEnergyCap,NewChargeCap,RetChargeCap,iter,CPA_ID,lcoe,Area,latitude,longitude,interconnect_annuity,state,m_landcover,m_primeFarmland,exFacil,plFacil,m_HMI,m_popden,cpa_mw
2,PJM_Rest,UtilityPV_Class1_Moderate_,PJM_Rest_utilitypv_class1_moderate_2,11.0,39322.31965650358,0.0,0.0,39322.31965650358,0.0,0.0,0.0,0.0,0.0,1,376975,28.800858,14.901129972,40.10421028805831,-84.07253934475462,3453.2805,Ohio,82,1.0,0,0,0.705773960551,2.9,134.11017
2,PJM_Rest,UtilityPV_Class1_Moderate_,PJM_Rest_utilitypv_class1_moderate_2,11.0,39322.31965650358,0.0,0.0,39322.31965650358,0.0,0.0,0.0,0.0,0.0,1,377366,28.91819,14.5488033898,39.90067693143936,-84.58193041331567,3910.8767,Ohio,82,1.0,0,0,0.790823181128,4.39655172414,130.93922
2,PJM_Rest,UtilityPV_Class1_Moderate_,PJM_Rest_utilitypv_class1_moderate_2,11.0,39322.31965650358,0.0,0.0,39322.31965650358,0.0,0.0,0.0,0.0,0.0,1,380532,28.986204,5.05040106894,38.97210821882448,-84.72368867484502,4022.3374,Kentucky,41,1.0,0,0,0.670010516518,4.10526315789,45.45361
2,PJM_Rest,UtilityPV_Class1_Moderate_,PJM_Rest_utilitypv_class1_moderate_2,11.0,39322.31965650358,0.0,0.0,39322.31965650358,0.0,0.0,0.0,0.0,0.0,1,281138,29.292854,4.7972057023,41.27865472756573,-87.31420463152288,3893.5732,Indiana,82,1.0,0,0,0.820312851667,2.25,43.17485
2,PJM_Rest,UtilityPV_Class1_Moderate_,PJM_Rest_utilitypv_class1_moderate_2,11.0,39322.31965650358,0.0,0.0,39322.31965650358,0.0,0.0,0.0,0.0,0.0,1,376699,29.448395,15.1823254274,40.00991514813378,-83.46832559592954,4698.4194,Ohio,82,1.0,0,0,0.765696627478,0.548387096774,136.64093
2,PJM_Rest,UtilityPV_Class1_Moderate_,PJM_Rest_utilitypv_class1_moderate_2,11.0,39322.31965650358,0.0,0.0,39322.31965650358,0.0,0.0,0.0,0.0,0.0,1,377311,29.449076,12.9429238212,39.67919570016323,-84.5226048432239,5214.2437,Ohio,82,1.0,0,0,0.754040077048,2.56603773585,116.48631
2,PJM_Rest,UtilityPV_Class1_Moderate_,PJM_Rest_utilitypv_class1_moderate_2,11.0,39322.31965650358,0.0,0.0,39322.31965650358,0.0,0.0,0.0,0.0,0.0,1,281149,29.469183,10.2320581645,41.28717299542884,-87.01713720269339,4055.934,Indiana,82,1.0,0,0,0.755543751772,3.32558139535,92.088524
2,PJM_Rest,UtilityPV_Class1_Moderate_,PJM_Rest_utilitypv_class1_moderate_2,11.0,39322.31965650358,0.0,0.0,39322.31965650358,0.0,0.0,0.0,0.0,0.0,1,275881,29.529144,13.7159426908,42.34763691302019,-89.14040250796853,1599.9271,Illinois,82,1.0,0,0,0.726412267035,3.89090909091,123.44348
2,PJM_Rest,UtilityPV_Class1_Moderate_,PJM_Rest_utilitypv_class1_moderate_2,11.0,39322.31965650358,0.0,0.0,39322.31965650358,0.0,0.0,0.0,0.0,0.0,1,279698,29.552574,18.2505951696,41.44718148343628,-86.85322176744647,4206.694,Indiana,82,1.0,0,0,0.823100337187,3.96,164.25536
2,PJM_Rest,UtilityPV_Class1_Moderate_,PJM_Rest_utilitypv_class1_moderate_2,11.0,39322.31965650358,0.0,0.0,39322.31965650358,0.0,0.0,0.0,0.0,0.0,1,281151,29.597368,7.79096054584,41.27715419700676,-86.93566121483012,4433.157,Indiana,82,1.0,0,0,0.73809308878,2.28571428571,70.118645
